Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"11/9/2018, Eastern Time",409827
US48,"11/9/2018, Eastern Time",
US48,"11/10/2018, Eastern Time",383067
US48,"11/10/2018, Eastern Time",
US48,"11/11/2018, Eastern Time",379032
US48,"11/11/2018, Eastern Time",
US48,"11/12/2018, Eastern Time",409614
US48,"11/12/2018, Eastern Time",
US48,"11/13/2018, Eastern Time",417479
US48,"11/13/2018, Eastern Time",
US48,"11/14/2018, Eastern Time",430004
US48,"11/14/2018, Eastern Time",
US48,"11/15/2018, Eastern Time",448172
US48,"11/15/2018, Eastern Time",
US48,"11/16/2018, Eastern Time",433276
US48,"11/16/2018, Eastern Time",
US48,"11/17/2018, Eastern Time",398110
US48,"11/17/2018, Eastern Time",
US48,"11/18/2018, Eastern Time",395205
US48,"11/18/2018, Eastern Time",
US48,"11/19/2018, Eastern Time",418567
US48,"11/19/2018, Eastern Time",
US48,"11/20/2018, Eastern Time",423647
US48,"11/20/2018, Eastern Time",
US48,"11/21/2018, Eastern Time",435914
US48,"11/21/2018, Eastern Time",
US48,"11/22/2018, Eastern Time",421683
US48,"11/22/2018, Eastern Time",
US48,"11/23/2018, Eastern Time",436523
US48,"11/23/2018, Eastern Time",
US48,"11/24/2018, Eastern Time",409808
US48,"11/24/2018, Eastern Time",
US48,"11/25/2018, Eastern Time",385861
US48,"11/25/2018, Eastern Time",
US48,"11/26/2018, Eastern Time",423649
US48,"11/26/2018, Eastern Time",
US48,"11/27/2018, Eastern Time",430821
US48,"11/27/2018, Eastern Time",
US48,"11/28/2018, Eastern Time",438625
US48,"11/28/2018, Eastern Time",
US48,"11/29/2018, Eastern Time",433452
US48,"11/29/2018, Eastern Time",
US48,"11/30/2018, Eastern Time",430813
US48,"11/30/2018, Eastern Time",
US48,"12/1/2018, Eastern Time",400234
US48,"12/1/2018, Eastern Time",
US48,"12/2/2018, Eastern Time",391061
US48,"12/2/2018, Eastern Time",
US48,"12/3/2018, Eastern Time",415987
US48,"12/3/2018, Eastern Time",
US48,"12/4/2018, Eastern Time",434580
US48,"12/4/2018, Eastern Time",
US48,"12/5/2018, Eastern Time",448083
US48,"12/5/2018, Eastern Time",
US48,"12/6/2018, Eastern Time",448897
US48,"12/6/2018, Eastern Time",
US48,"12/7/2018, Eastern Time",445298
US48,"12/7/2018, Eastern Time",
US48,"12/8/2018, Eastern Time",431916
US48,"12/8/2018, Eastern Time",
US48,"12/9/2018, Eastern Time",424096
US48,"12/9/2018, Eastern Time",
US48,"12/10/2018, Eastern Time",449746
US48,"12/10/2018, Eastern Time",
US48,"12/11/2018, Eastern Time",455040
US48,"12/11/2018, Eastern Time",
US48,"12/12/2018, Eastern Time",451102
